real_concentration,pH,temperature,sensor_value
2,5,10,1.936966264
2,6,20,2.207074851
2,7,30,0.85905297
2,8,40,0.505327471
2,9,50,3.019709682
3,9,10,2.732155713
3,8,20,3.23109294
3,7,30,1.413265021
3,6,40,1.567603286
3,5,50,2.599088549
4,5,10,5.515789889
4,6,20,4.807657466
4,7,30,2.047837921
4,8,40,1.819166719
4,9,50,3.59601738
5,5,10,6.538266503
5,6,20,6.121051689
5,7,30,5.797820286
5,8,40,6.016728217
5,9,50,6.581407437
6,9,10,6.844270733
6,8,20,6.550073254
6,7,30,6.37593705
6,6,40,6.02413678
6,5,50,6.639435436
